2016-03-15 14:50:13 INFO  ElasticConfigurationReader:36 - Loaded configuration: 
2016-03-15 14:50:13 INFO  ElasticConfigurationReader:37 - hostName : localhost
2016-03-15 14:50:13 INFO  ElasticConfigurationReader:38 - Port : 9300
2016-03-15 14:50:13 INFO  ElasticConfigurationReader:39 - clusterName : abbhave
2016-03-15 14:50:13 INFO  ElasticConfigurationReader:40 - indexName : status
2016-03-15 14:50:13 INFO  ElasticConfigurationReader:41 - Operation : Append
2016-03-15 14:50:13 INFO  plugins:180 - [Marvel Boy] modules [], plugins [], sites []
2016-03-15 14:50:14 INFO  ConnectionManager:29 - Connected to the elasticSearch server.
2016-03-15 14:50:14 INFO  indexUtils:21 - Checking if inedx status exists
2016-03-15 14:50:14 INFO  indexUtils:29 - Cloud not find index
2016-03-15 14:50:14 INFO  indexUtils:34 - Creating an index with name status
2016-03-15 14:50:14 INFO  indexUtils:42 - Created index status
2016-03-15 14:50:14 INFO  indexUtils:21 - Checking if inedx status exists
2016-03-15 14:50:14 INFO  indexUtils:26 - Found index. Index exists
2016-03-16 22:40:53 INFO  Main:16 - Started Main
2016-03-16 22:40:53 INFO  ElasticConfigurationReader:20 - Found configuration file.
2016-03-16 22:40:53 INFO  ElasticConfigurationReader:36 - Loaded configuration: 
2016-03-16 22:40:53 INFO  ElasticConfigurationReader:37 - hostName : localhost
2016-03-16 22:40:53 INFO  ElasticConfigurationReader:38 - Port : 9300
2016-03-16 22:40:53 INFO  ElasticConfigurationReader:39 - clusterName : abbhave
2016-03-16 22:40:53 INFO  ElasticConfigurationReader:40 - indexName : status
2016-03-16 22:40:53 INFO  ElasticConfigurationReader:41 - Operation : Append
2016-03-16 22:40:53 INFO  plugins:180 - [Azazel] modules [], plugins [], sites []
2016-03-16 22:40:54 INFO  ConnectionManager:29 - Connected to the elasticSearch server.
2016-03-16 22:40:54 INFO  indexUtils:25 - Checking if inedx status exists
2016-03-16 22:40:54 INFO  indexUtils:29 - Found index. Index exists
2016-03-16 22:40:54 INFO  indexUtils:37 - Creating an index with name status
2016-03-16 22:41:33 INFO  Main:16 - Started Main
2016-03-16 22:41:33 INFO  ElasticConfigurationReader:20 - Found configuration file.
2016-03-16 22:41:33 INFO  ElasticConfigurationReader:36 - Loaded configuration: 
2016-03-16 22:41:33 INFO  ElasticConfigurationReader:37 - hostName : localhost
2016-03-16 22:41:33 INFO  ElasticConfigurationReader:38 - Port : 9300
2016-03-16 22:41:33 INFO  ElasticConfigurationReader:39 - clusterName : abbhave
2016-03-16 22:41:33 INFO  ElasticConfigurationReader:40 - indexName : status
2016-03-16 22:41:33 INFO  ElasticConfigurationReader:41 - Operation : Append
2016-03-16 22:41:33 INFO  plugins:180 - [Nomad] modules [], plugins [], sites []
2016-03-16 22:41:34 INFO  ConnectionManager:29 - Connected to the elasticSearch server.
2016-03-16 22:41:34 INFO  indexUtils:25 - Checking if inedx status exists
2016-03-16 22:41:34 INFO  indexUtils:29 - Found index. Index exists
2016-03-16 22:41:34 INFO  indexUtils:49 - Deleting the index status
2016-03-16 22:41:34 INFO  indexUtils:56 - Deleted index status
2016-03-16 22:41:34 INFO  indexUtils:37 - Creating an index with name status
2016-03-16 22:41:34 INFO  indexUtils:44 - Created index status
2016-03-16 22:41:34 INFO  indexUtils:25 - Checking if inedx status exists
2016-03-16 22:41:34 INFO  indexUtils:29 - Found index. Index exists
2016-03-16 22:42:14 INFO  Main:16 - Started Main
2016-03-16 22:42:14 INFO  ElasticConfigurationReader:20 - Found configuration file.
2016-03-16 22:42:14 INFO  ElasticConfigurationReader:36 - Loaded configuration: 
2016-03-16 22:42:14 INFO  ElasticConfigurationReader:37 - hostName : localhost
2016-03-16 22:42:14 INFO  ElasticConfigurationReader:38 - Port : 9300
2016-03-16 22:42:14 INFO  ElasticConfigurationReader:39 - clusterName : abbhave
2016-03-16 22:42:14 INFO  ElasticConfigurationReader:40 - indexName : status
2016-03-16 22:42:14 INFO  ElasticConfigurationReader:41 - Operation : Append
2016-03-16 22:42:14 INFO  plugins:180 - [Martin Gold] modules [], plugins [], sites []
2016-03-16 22:42:15 INFO  ConnectionManager:29 - Connected to the elasticSearch server.
